objectid,placeid,city,state,year,dockid,docknm
1,AL001,Birmingham,AL,2015,63,Zyp BikeShare
2,AZ006,Phoenix,AZ,2015,37,Grid
3,CA0025,San Diego,CA,2015,59,DiscoverBike (was DecoBike in 2016 and 2017)
4,CA0026,San Francisco,CA,2015,42,Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)
5,CA0029,San Ramon,CA,2015,75,BriteBikes
6,CA0033,Santa Monica,CA,2015,39,Breeze
7,CO0038,Aspen,CO,2015,27,WE-cycle
8,CO0040,Boulder,CO,2015,11,Boulder B-cycle
9,CO0042,Denver,CO,2015,7,Denver B-cycle
10,DC0046,Washington,DC,2015,56,Capital Bikeshare
11,FL0050,Fort Lauderdale,FL,2015,12,Broward B-cycle
12,FL0053,Key West,FL,2015,61,Instabike
13,FL0054,Lakeland,FL,2015,69,Swan City Cycle
14,FL0055,Miami,FL,2015,5,Citi Bike Miami
15,FL0061,Orlando,FL,2015,32,Juice
16,FL0064,Tampa,FL,2015,33,Coast Bike Share
17,FL0065,West Palm Beach,FL,2015,31,Sky Bike WPB
18,GA0068,Evans,GA,2015,45,Columbia County B-cycle
19,GA0069,Savannah,GA,2015,46,CAT B-cycle
20,GA0070,Smyrna,GA,2015,70,Smyrna Bike Share
21,IA0073,Des Moines,IA,2015,14,Des Moines B-cycle
22,ID0075,Boise,ID,2015,36,Boise Green Bike
23,ID0076,Hailey,ID,2015,35,MR Bike Share
24,IL0079,Chicago,IL,2015,60,Divvy
25,IN0082,Carmel,IN,2015,64,Carmel Bike Share
26,IN0086,Huntingburg,IN,2015,67,Zagster Huntingburg
27,IN0087,Indianapolis,IN,2015,48,Indiana Pacers Bikeshare
28,KS0090,Topeka,KS,2015,34,Topeka Metro Bikes
29,MA0098,Boston,MA,2015,1,Hubway (03/2018 re-launched as Blue Bikes)
30,MI00125,Ann Arbor,MI,2015,4,arborbike
31,MI00126,Battle Creek,MI,2015,49,Battle Creek B-cycle
32,MN00131,Hastings,MN,2015,66,Zagster Hastings
33,MN00132,Minneapolis,MN,2015,25,Nice Ride Minnesota (became partially dockless in 2018)
34,MO00137,Kansas City,MO,2015,18,Kansas City B-cycle
35,NC00139,Charlotte,NC,2015,13,Charlotte B-cycle (became JoyRides Sep-2020)
36,ND00144,Fargo,ND,2015,51,Great Rides
37,NE00146,Omaha,NE,2015,16,Heartland B-cycle
38,NJ00149,Hoboken,NJ,2015,2,Hudson Bike Share (now part of CitiBike)
39,NM00153,Albuquerque,NM,2015,38,Bici (became PACE dockless in 2018)
40,NY00159,Long Beach,NY,2015,55,"Sobi Long Beach, NY"
41,NY00160,New York,NY,2015,3,Citi Bike
42,OH00164,Cincinnati,OH,2015,57,Cincy RedBike Bike
43,OH00165,Cleveland,OH,2015,71,Zagster Cleveland
44,OH00166,Columbus,OH,2015,58,COGO
45,OH00167,Dayton,OH,2015,47,Link Dayton B-cycle
46,OK00173,Oklahoma City,OK,2015,40,Spokies
47,OK00175,Tulsa,OK,2015,62,Townies
48,OR00175,Ashland,OR,2015,68,Zagster Jackson County
49,OR00178,Medford,OR,2015,68,Zagster Jackson County
50,PA00181,Philadelphia,PA,2015,43,Inde'go
51,PA00182,Pittsburgh,PA,2015,29,Healthy Ride (became POGOH in 2022)
52,SC00185,Greenville,SC,2015,44,Greenville B-cycle
53,SC00187,Spartanburg,SC,2015,23,Spartanburg B-cycle
54,SD00188,Rapid City,SD,2015,30,Rapid City B-cycle
55,TN00189,Chattanooga,TN,2015,54,Bike Chattanooga
56,TN00192,Nashville,TN,2015,21,Nashville B-cycle
57,TX00194,Austin,TX,2015,53,Austin B-cycle
58,TX00196,Dallas,TX,2015,9,Fairpark B-cycle
59,TX00198,El Paso,TX,2015,8,El Paso B-cycle
60,TX00199,Fort Worth,TX,2015,10,Fort Worth B-cycle
61,TX00201,Houston,TX,2015,17,Houston B-cycle
62,TX00203,McAllen,TX,2015,28,McAllen B-cycle (RGV B-cycle)
63,TX00205,San Antonio,TX,2015,22,San Antonio B-cycle
